Time [s],PID,Address,Endpoint,Frame #,Data,CRC
4.056037600000000,SETUP,0x02,0x00,,,0x15
4.056065020000000,DATA0,,,,0x80 0x06 0x00 0x02 0x00 0x00 0x09 0x00,0x04AE
4.056134160000000,ACK,,,,,
4.057044570000000,IN,0x02,0x00,,,0x15
4.057070460000000,DATA1,,,,0x09 0x02 0x3B 0x00 0x02 0x01 0x04 0xA0,0x150A
4.057140080000000,ACK,,,,,
4.058037620000000,IN,0x02,0x00,,,0x15
4.058063480000000,DATA0,,,,0x1E,0xB7C0
4.058095960000000,ACK,,,,,
4.059036840000000,OUT,0x02,0x00,,,0x15
4.059064260000000,DATA1,,,,,0x0000
4.059090840000000,ACK,,,,,
4.061037780000000,SETUP,0x02,0x00,,,0x15
4.061065200000000,DATA0,,,,0x80 0x06 0x00 0x02 0x00 0x00 0x3B 0x00,0x64BB
4.061134440000000,ACK,,,,,
4.062037160000000,IN,0x02,0x00,,,0x15
4.062062940000000,DATA1,,,,0x09 0x02 0x3B 0x00 0x02 0x01 0x04 0xA0,0x150A
4.062132510000000,ACK,,,,,
4.063037300000000,IN,0x02,0x00,,,0x15
4.063063100000000,DATA0,,,,0x1E 0x09 0x04 0x00 0x00 0x01 0x03 0x01,0x0037
4.063132640000000,ACK,,,,,
4.064038100000000,IN,0x02,0x00,,,0x15
4.064063920000000,DATA1,,,,0x01 0x05 0x09 0x21 0x00 0x01 0x00 0x01,0xA607
4.064133450000000,ACK,,,,,
4.065046400000000,IN,0x02,0x00,,,0x15
4.065072190000000,DATA0,,,,0x22 0x41 0x00 0x07 0x05 0x81 0x03 0x08,0x2389
4.065141750000000,ACK,,,,,
4.066038370000000,IN,0x02,0x00,,,0x15
4.066064220000000,DATA1,,,,0x00 0x0A 0x09 0x04 0x01 0x00 0x01 0x03,0xC0A4
4.066133880000000,ACK,,,,,
4.067037670000000,IN,0x02,0x00,,,0x15
4.067063550000000,DATA0,,,,0x01 0x02 0x06 0x09 0x21 0x00 0x01 0x00,0x338A
4.067133190000000,ACK,,,,,
4.068038640000000,IN,0x02,0x00,,,0x15
4.068064540000000,DATA1,,,,0x01 0x22 0x4E 0x00 0x07 0x05 0x82 0x03,0x0042
4.068134150000000,ACK,,,,,
4.069038620000000,IN,0x02,0x00,,,0x15
4.069064520000000,DATA0,,,,0x05 0x00 0x0A,0x391E
4.069107620000000,ACK,,,,,
4.070038670000000,OUT,0x02,0x00,,,0x15
4.070066080000000,DATA1,,,,,0x0000
4.070092540000000,ACK,,,,,
4.072039440000000,SETUP,0x02,0x00,,,0x15
4.072066860000000,DATA0,,,,0x00 0x09 0x01 0x00 0x00 0x00 0x00 0x00,0x2527
4.072135980000000,ACK,,,,,
4.073046570000000,IN,0x02,0x00,,,0x15
4.073072440000000,DATA1,,,,,0x0000
4.073099580000000,ACK,,,,,
4.075040180000000,SETUP,0x02,0x00,,,0x15
4.075067600000000,DATA0,,,,0x80 0x06 0x05 0x03 0x09 0x04 0x04 0x00,0x5CD5
4.075136770000000,ACK,,,,,
4.076039480000000,IN,0x02,0x00,,,0x15
4.076065270000000,DATA1,,,,0x69 0x00 0x65 0x00,0x17C9
4.076113650000000,ACK,,,,,
4.077039860000000,OUT,0x02,0x00,,,0x15
4.077067280000000,DATA1,,,,,0x0000
4.077093790000000,ACK,,,,,
4.079040710000000,SETUP,0x02,0x00,,,0x15
4.079068140000000,DATA0,,,,0x80 0x06 0x06 0x03 0x09 0x04 0x04 0x00,0x6FD5
4.079137890000000,ACK,,,,,
4.080039020000000,IN,0x02,0x00,,,0x15
4.080064900000000,DATA1,,,,0x45 0x00 0x6E 0x00,0xB7C6
4.080113190000000,ACK,,,,,
4.081048490000000,OUT,0x02,0x00,,,0x15
4.081075910000000,DATA1,,,,,0x0000
4.081102370000000,ACK,,,,,
4.083041510000000,SETUP,0x02,0x00,,,0x15
4.083068930000000,DATA0,,,,0x21 0x0A 0x00 0x00 0x00 0x00 0x00 0x00,0x20D6
4.083138170000000,ACK,,,,,
4.084040310000000,IN,0x02,0x00,,,0x15
4.084066170000000,DATA1,,,,,0x0000
4.084093320000000,ACK,,,,,
4.086041410000000,SETUP,0x02,0x00,,,0x15
4.086068840000000,DATA0,,,,0x81 0x06 0x00 0x22 0x00 0x00 0x81 0x00,0x0F88
4.086137970000000,ACK,,,,,
4.087040460000000,IN,0x02,0x00,,,0x15
4.087066310000000,DATA1,,,,0x05 0x01 0x09 0x06 0xA1 0x01 0x05 0x07,0x3CD7
4.087135980000000,ACK,,,,,
4.088040770000000,IN,0x02,0x00,,,0x15
4.088066630000000,DATA0,,,,0x19 0xE0 0x29 0xE7 0x15 0x00 0x25 0x01,0xEF73
4.088136280000000,ACK,,,,,
4.089048740000000,IN,0x02,0x00,,,0x15
4.089074580000000,DATA1,,,,0x75 0x01 0x95 0x08 0x81 0x02 0x95 0x01,0x87B3
4.089144250000000,ACK,,,,,
4.090041460000000,IN,0x02,0x00,,,0x15
4.090067270000000,DATA0,,,,0x75 0x08 0x81 0x01 0x95 0x05 0x75 0x01,0x6308
4.090136800000000,ACK,,,,,
4.091041760000000,IN,0x02,0x00,,,0x15
4.091067590000000,DATA1,,,,0x05 0x08 0x19 0x01 0x29 0x05 0x91 0x02,0xCE3D
4.091137100000000,ACK,,,,,
4.092041810000000,IN,0x02,0x00,,,0x15
4.092067580000000,DATA0,,,,0x95 0x01 0x75 0x03 0x91 0x01 0x95 0x06,0x6CBB
4.092137160000000,ACK,,,,,
4.093041440000000,IN,0x02,0x00,,,0x15
4.093067230000000,DATA1,,,,0x75 0x08 0x15 0x00 0x26 0xFF 0x00 0x05,0x9108
4.093137630000000,ACK,,,,,
4.094041910000000,IN,0x02,0x00,,,0x15
4.094067720000000,DATA0,,,,0x07 0x19 0x00 0x2A 0xFF 0x00 0x81 0x00,0x513F
4.094138590000000,ACK,,,,,
4.095042050000000,IN,0x02,0x00,,,0x15
4.095067870000000,DATA1,,,,0xC0,0xEF40
4.095100390000000,ACK,,,,,
4.097049990000000,OUT,0x02,0x00,,,0x15
4.097077410000000,DATA1,,,,,0x0000
4.097103840000000,ACK,,,,,
4.099043930000000,SETUP,0x02,0x00,,,0x15
4.099071350000000,DATA0,,,,0x21 0x0A 0x00 0x00 0x01 0x00 0x00 0x00,0xDCD7
4.099140480000000,ACK,,,,,
